recursion_reconstruct,alphabet,match_size,space_sizing,recursion_sizing,time_sizing,time_reconstruct,algo,space_reconstruct,input_size
9,bin,3,,1,0.4424353539943695,0.014478770783171058,hirschberg,0.0,5
9,alpha,4,,1,0.016071206890046597,0.01594508718699217,hirschberg,0.0,5
19,bin,9,,1,0.016914366045966744,0.017697876086458564,hirschberg,0.0,10
19,alpha,7,,1,0.016174479154869914,0.018968565156683326,hirschberg,0.0,10
25,bin,11,,1,0.019630227936431766,0.020342982141301036,hirschberg,0.0,15
27,alpha,8,,1,0.01909531094133854,0.02208405500277877,hirschberg,0.0,15
37,bin,14,,1,0.021201152121648192,0.025709155946969986,hirschberg,0.0,20
37,alpha,13,,1,0.020865463884547353,0.02561153913848102,hirschberg,0.0,20
1955,bin,806,,1,5.186968417838216,10.070956079056486,hirschberg,0.0,1000
1865,alpha,645,,1,5.141274883877486,9.976530120940879,hirschberg,0.0,1000
3853,bin,1608,,1,20.777723849983886,40.05457262089476,hirschberg,0.09999999999999432,2000
3727,alpha,1298,,1,20.38395251194015,40.10488419095054,hirschberg,0.0,2000
5855,bin,2440,,1,46.245095688151196,90.57474796404131,hirschberg,0.30000000000000426,3000
5611,alpha,1957,,1,46.221733978018165,89.33720150403678,hirschberg,0.0,3000
7775,bin,3237,,1,82.80755852907896,162.1242133351043,hirschberg,0.3999999999999986,4000
7425,alpha,2612,,1,82.88022639788687,160.25095391878858,hirschberg,0.0,4000
9709,bin,4053,,1,131.35433498001657,251.35257255006582,hirschberg,0.0,5000
9239,alpha,3265,,1,127.62733529112302,248.21839243220165,hirschberg,0.0,5000
19455,bin,8108,,1,516.363447166048,1006.5678094259929,hirschberg,0.7999999999999972,10000
18729,alpha,6509,,1,516.9910652001854,997.1549177118577,hirschberg,0.10000000000000142,10000
77833,bin,32447,,1,8242.720840614056,16074.517996588955,hirschberg,2.1000000000000014,40000
74769,alpha,26180,,1,8164.509881485021,15977.747314611915,hirschberg,0.5,40000
8,bin,3,0.0,1,0.025337442057207227,0.01467769406735897,dynamic,,5
6,alpha,4,0.0,1,0.021221378119662404,0.014387026894837618,dynamic,,5
11,bin,9,0.0,1,0.03161635994911194,0.014420638093724847,dynamic,,10
13,alpha,7,0.0,1,0.03159936307929456,0.013669771142303944,dynamic,,10
19,bin,11,0.0,1,0.04023663210682571,0.014233717927709222,dynamic,,15
19,alpha,8,0.0,1,0.03783211298286915,0.014711041934788227,dynamic,,15
26,bin,14,0.0,1,0.052060917019844055,0.014823978999629617,dynamic,,20
27,alpha,13,0.0,1,0.04917182517237961,0.015483574010431767,dynamic,,20
1193,bin,806,12.299999999999997,1,59.211656124098226,0.046240128111094236,dynamic,,1000
1356,alpha,645,10.0,1,59.82395919482224,0.04944895510561764,dynamic,,1000
2393,bin,1608,68.0,1,236.22178814699873,0.08346470585092902,dynamic,,2000
2703,alpha,1298,43.900000000000006,1,238.2886675929185,0.12239412101916969,dynamic,,2000
3561,bin,2440,159.2,1,531.2588719781488,0.12619080883450806,dynamic,,3000
4042,alpha,1957,99.39999999999998,1,533.7933347390499,0.13313448219560087,dynamic,,3000
4759,bin,3237,266.1,1,945.8536705919541,0.13380958116613328,dynamic,,4000
5388,alpha,2612,156.50000000000006,1,949.9254943330307,0.19693287694826722,dynamic,,4000
5935,bin,4053,419.09999999999997,1,1475.420752053149,0.2325457150582224,dynamic,,5000
6727,alpha,3265,244.39999999999998,1,1482.2771999549586,0.3781583409290761,dynamic,,5000
58,bin,3,,,,0.017972224857658148,naive,,5
39,alpha,4,,,,0.01388073805719614,naive,,5
48,bin,9,,,,0.013932364992797375,naive,,10
4320,alpha,7,,,,0.0523512011859566,naive,,10
4707,bin,11,,,,0.058363404124975204,naive,,15
3164454,alpha,8,,,,26.223906967090443,naive,,15
83572,bin,14,,,,0.7058656290173531,naive,,20
232031254,alpha,13,,,,1910.6828047879972,naive,,20
6,bin,3,0.0,27,0.024558741133660078,0.014324487885460258,memoized,,5
5,alpha,4,0.0,24,0.02001433097757399,0.01500203087925911,memoized,,5
10,bin,9,0.0,34,0.029348581098020077,0.013461010996252298,memoized,,10
12,alpha,7,0.0,105,0.02723520598374307,0.014643661910668015,memoized,,10
16,bin,11,0.0,143,0.03823600220493972,0.013603312894701958,memoized,,15
18,alpha,8,0.0,330,0.03756726998835802,0.015196554828435183,memoized,,15
25,bin,14,0.0,271,0.05130238807760179,0.013210678938776255,memoized,,20
27,alpha,13,0.0,499,0.05035343416966498,0.015498511027544737,memoized,,20
1190,bin,806,0.0,577240,62.11075424705632,0.04128055088222027,memoized,,1000
1355,alpha,645,0.0,1235391,69.22519074194133,0.039281412959098816,memoized,,1000
2392,bin,1608,18.0,2501587,251.29448041319847,0.11617212696000934,memoized,,2000
2700,alpha,1298,15.0,5060499,278.9917753909249,0.06575827696360648,memoized,,2000
3560,bin,2440,48.60000000000002,5520115,569.9372798861004,0.0806105041410774,memoized,,3000
4041,alpha,1957,33.30000000000007,11090986,634.1554442229681,0.091383907943964,memoized,,3000
4758,bin,3237,90.39999999999998,10045291,1017.095742556965,0.28713409788906574,memoized,,4000
5387,alpha,2612,60.39999999999998,19774633,1138.6572378680576,0.11409855796955526,memoized,,4000
5942,bin,4053,140.19999999999993,15542137,1606.4913793290034,0.39789801416918635,memoized,,5000
6726,alpha,3265,98.29999999999995,31190639,1826.766287516104,0.4116650519426912,memoized,,5000
