recursion_sizing,input_size,algo,recursion_reconstruct,space_reconstruct,space_sizing,time_reconstruct,time_sizing,match_size,alphabet
1,5,hirschberg,9,0.0,,0.0032863209999050014,0.061389499999677355,4,alpha
1,5,hirschberg,9,0.0,,0.0032607470002403716,0.0031723410002086894,4,bin
1,10,hirschberg,17,0.0,,0.005123310999806563,0.004269783999916399,6,alpha
1,10,hirschberg,17,0.0,,0.005279120000523108,0.0043379259996072506,7,bin
1,15,hirschberg,25,0.0,,0.007649858999684511,0.005823640000016894,8,alpha
1,15,hirschberg,27,0.0,,0.007984394000231987,0.005763534999459807,12,bin
1,20,hirschberg,35,0.0,,0.011012865999873611,0.0077182310005809995,12,alpha
1,20,hirschberg,37,0.0,,0.011518188999616541,0.007616572000188171,14,bin
1,1000,hirschberg,1843,0.0,,15.42701732200021,7.976259545000175,646,alpha
1,1000,hirschberg,1937,0.0,,15.557231543999478,8.0661038369999,802,bin
1,2000,hirschberg,3739,0.20000000000000284,,61.67044745400017,31.902897963000214,1300,alpha
1,2000,hirschberg,3887,0.0,,62.57121930300036,31.98426250800003,1611,bin
33,5,memoized,6,,0.0,0.00227819100018678,0.0075620629995682975,4,alpha
12,5,memoized,5,,0.0,0.002237798999885854,0.006885229000545223,4,bin
91,10,memoized,14,,0.0,0.0025686340004540398,0.017824561999987054,6,alpha
83,10,memoized,12,,0.0,0.002439267999761796,0.018377666000560566,7,bin
323,15,memoized,19,,0.0,0.0026531729999987874,0.036568727000485524,8,alpha
104,15,memoized,17,,0.0,0.002573089000179607,0.03311468999982026,12,bin
488,20,memoized,28,,0.0,0.002887194000322779,0.05860456800019165,12,alpha
300,20,memoized,26,,0.0,0.0028553610000017215,0.05578960799994093,14,bin
1261953,1000,memoized,1351,,15.599999999999994,0.044018325000251934,121.46841661300004,646,alpha
626681,1000,memoized,1186,,12.0,0.0469778699998642,111.07451453700014,802,bin
4980999,2000,memoized,2699,,42.900000000000006,0.08640826499959076,486.9032630900001,1300,alpha
2597781,2000,memoized,2389,,43.0,0.07645967000098608,447.06913934099975,1611,bin
,5,naive,109,,,0.0028213359983055852,,4,alpha
,5,naive,12,,,0.0012498030009737704,,4,bin
,10,naive,1795,,,0.025671354998848983,,6,alpha
,10,naive,370,,,0.006149021999590332,,7,bin
,15,naive,1717236,,,23.434977150000122,,8,alpha
,15,naive,736,,,0.011390148998543737,,12,bin
,20,naive,161344468,,,2191.3057813270007,,12,alpha
,20,naive,82298,,,1.1169004549992678,,14,bin
1,5,dynamic,7,,0.0,0.002492399999027839,0.008711335000043618,4,alpha
1,5,dynamic,7,,0.0,0.0022005589999025688,0.008405487000345602,4,bin
1,10,dynamic,14,,0.0,0.002356798999244347,0.01943333300005179,6,alpha
1,10,dynamic,13,,0.0,0.002329743998416234,0.019317956999657326,7,bin
1,15,dynamic,19,,0.0,0.0025054979996639304,0.03568313899995701,8,alpha
1,15,dynamic,18,,0.0,0.002435684998999932,0.03545114400003513,12,bin
1,20,dynamic,29,,0.0,0.002710209000724717,0.05706706100136216,12,alpha
1,20,dynamic,27,,0.0,0.002665963998879306,0.05659991700122191,14,bin
1,1000,dynamic,1352,,0.0,0.050735013999656076,106.17310635600006,646,alpha
1,1000,dynamic,1187,,5.200000000000017,0.03670066199993016,105.50785693199941,802,bin
1,2000,dynamic,2699,,19.299999999999983,0.1732138119987212,421.95095124399995,1300,alpha
1,2000,dynamic,2390,,43.5,0.11719427699972584,418.948144168,1611,bin
